ALDH1A1	00001	NP_000680.2	ALDH1A1	00001	NP_000680.2	in vivo;yeast 2-hybrid	12081471,16189514
TP53BP1	05569	NP_001135452.1	BRCA1	00218	NP_009231.2	in vivo	12364621
HPS5	07395	NP_852608.1	ITGA3	05431	NP_005492.1	yeast 2-hybrid	10094488
MAPK8	03100	NP_620637.1	BMF	05881	NP_277038.1	in vitro	12591950
TESK2	05298	BAB62909.1	DSTN	16446	NP_006861.1	in vitro	11418599
FURIN	00653	NP_002560.1	SORCS1	12098	NP_001013049.1	in vitro;in vivo	12482870
DLL1	05957	NP_005609.3	DLL1	05957	NP_005609.3	in vitro	12794186
RRM2B	05276	NP_056528.2	RRM2	01587	NP_001025.1	in vitro	14729598
WEE1	01907	NP_003381.1	CDK2	00310	NP_001789.2	in vitro	7743995
SUGT1	09160	AAQ76039.1	S100A6	00237	NP_055439.1	in vitro;in vivo	12746458
SUGT1	09160	AAQ76039.1	SKP1	03255	NP_733779.1	in vitro	12746458
SUGT1	09160	AAQ76039.1	S100P	02792	NP_005971.1	in vitro	12746458
SUGT1	09160	AAQ76039.1	S100B	01505	NP_006263.1	in vitro	12746458
MCM7	01154	NP_005907.3	RPA1	01565	NP_002936.1	yeast 2-hybrid	12614612
MED29	13748	NP_060062.1	USP47	11668	NP_060414.3	in vitro	14576168
ROCK1	03414	NP_005397.1	CDC25A	00305	NP_001780.2	in vitro;in vivo	14657354
RPLP1	01611	NP_000994.1	RPLP1	01611	NP_000994.1	yeast 2-hybrid	10856704
GTF2H5	10581	NP_997001.1	ERCC3	00593	NP_000113.1	in vivo	15220921
YWHAQ	00886	NP_006817.1	NIF3L1	10424	AAH07654.1	in vitro	15163635
GTF2H5	10581	NP_997001.1	CDK7	15993	NP_001790.1	in vivo	15220921
GTF2H5	10581	NP_997001.1	GTF2H2	03450	NP_001506.1	in vivo	15220921
FKBP1A	01741	NP_000792.1	FKBP1A	01741	NP_000792.1	in vitro	8662507,11438723,10852943,9871618,9346894,8521476
CD81	08924	NP_004347.1	ITGA4	01894	NP_000876.3	in vivo	10229664
CST3	05056	NP_000090.1	ATXN1	03333	NP_000323.2	yeast 2-hybrid	16713569
MAP3K5	03904	NP_005914.1	CDC25A	00305	NP_001780.2	in vitro;in vivo;yeast 2-hybrid	11416155
ACTN2	00019	NP_001094.1	EPS8L1	13276	NP_573441.2	in vivo	14565974
IGF1R	00932	NP_000866.1	EHD1	09325	NP_006786.2	in vitro	11423532
SNRPD2	03038	NP_004588.1	SNRPD1	03040	NP_008869.1	in vivo	12975319
RFC4	00022	NP_002907.1	RAD17	09124	NP_579917.1	in vitro	11907025
MAPK8	03100	NP_620637.1	COPS2	05146	NP_001137359.1	in vivo	10585392
IRS1	00943	NP_005535.1	CHUK	02811	NP_001269.3	in vivo	12351658
ARPC2	10367	NP_690601.1	ARPC4	10368	NP_005709.1	yeast 2-hybrid	11162547
ARPC4	10368	NP_005709.1	ARPC5	11969	NP_005708.1	yeast 2-hybrid	11162547
CHEK1	04356	NP_001265.2	CDC25A	00305	NP_001780.2	in vitro;in vivo	12399544,12676583
ARPC4	10368	NP_005709.1	ARPC3	09175	NP_005710.1	yeast 2-hybrid	11162547
C19orf2	11943	NP_003787.2	POLR2E	15946	NP_002686.2	in vitro;in vivo	14615539,16055720
C19orf2	11943	NP_003787.2	STAP1	16053	NP_036240.1	in vitro;in vivo	14615539
PTK2B	03131	NP_004094.3	RASA1	00745	NP_002881.1	in vivo	10713673
PTK2B	03131	NP_004094.3	ARHGAP5	04060	NP_001025226.1	in vivo	10713673
PML	00023	NP_150241.2	SMAD3	04380	NP_005893.1	in vivo	15356634
PML	00023	NP_150241.2	ZFYVE9	04782	NP_004790.2	in vivo	15356634
OGDH	08938	NP_002532.2	DLST	00520	NP_001924.2	in vitro	9727038
OGDH	08938	NP_002532.2	DLD	02006	NP_000099.2	in vitro	9727038
BTRC	04596	NP_378663.1	CDC25A	00305	NP_001780.2	in vitro;in vivo	14603323
PML	00023	NP_150241.2	HDAC2	05521	NP_001518.2	in vitro	11259576
PML	00023	NP_150241.2	HDAC3	08950	NP_003874.2	in vitro	11259576
ITGB6	00947	NP_000879.2	FN1	00626	NP_997647.1	in vitro	1532572
SERP1	18037	NP_055260.1	SEC61A1	15316	NP_037468.1	in vivo	10601334
ITGB7	00948	NP_000880.1	VCAM1	01888	NP_001069.1	in vitro	12682249
DTNA	03141	NP_001381.2	UTRN	00547	NP_009055.2	in vitro;in vivo	10767429,9701558
ITGB5	00949	NP_002204.2	ANXA5	00568	NP_001145.1	in vitro	12769841
STAT3	00026	NP_644805.1	CSF3R	00737	NP_724781.1	in vitro	9864141
ITGB5	00949	NP_002204.2	CYR61	09089	NP_001545.2	in vitro	11287419
CCNA1	04946	NP_003905.1	CDC25A	00305	NP_001780.2	in vivo	10926775
CHD4	04472	AAH38596.1	ATR	08369	NP_001175.2	in vitro;in vivo	10545197
IGJ	00991	NP_653247.1	CD79A	00203	NP_001774.1	in vivo	1292512
HDAC3	08950	NP_003874.2	RB1	01574	NP_000312.2	in vivo	12479814
KRT8	01015	NP_002264.1	DEDD	06022	NP_127491.1	in vivo	12235123
HDAC3	08950	NP_003874.2	PPARG	03288	NP_056953.2	in vivo	12479814
IL28RA	09589	NP_734464.1	IL29	09588	NP_742152.1	in vivo	12469119
HDAC3	08950	NP_003874.2	CCT5	06468	NP_036205.1	in vivo	12502735
HDAC1	03143	NP_004955.2	SIN3B	09691	NP_056075.1	in vitro	11959842
HDAC1	03143	NP_004955.2	SPEN	10230	NP_055816.2	in vivo	11331609
CHEK2	05084	NP_001005735.1	CDC25A	00305	NP_001780.2	in vitro;in vivo	12676583,11298456
AP3B1	04551	NP_003655.3	SLC30A3	11924	NP_003450.2	in vivo	14657250
PRKRA	04573	NP_003681.1	EIF2AK2	01468	NP_002750.1	in vitro;in vivo	9687506,11985496,11238927
ATP1A1	01662	NP_000692.2	FXYD7	09457	NP_071289.1	in vitro	12093728
ATP1B1	01663	NP_001668.1	FXYD7	09457	NP_071289.1	in vitro	12093728
BMPR1A	03192	NP_004320.2	SF3B4	12028	NP_005841.1	in vivo;yeast 2-hybrid	15351706
SOS1	01681	NP_005624.2	EPS8L1	13276	NP_573441.2	in vitro	14565974
SOS1	01681	NP_005624.2	EPS8L2	10940	BAB15180.1	in vitro	14565974
ADRBK1	00182	NP_001610.2	SRC	01819	NP_005408.1	in vitro;in vivo	12624098
LRDD	11284	NP_665893.2	FADD	03909	NP_003815.1	in vivo	10825539
LRDD	11284	NP_665893.2	MADD	04664	NP_003673.3	in vivo	10825539
NFIX	01234	NP_002492.2	SKI	01271	NP_003027.1	in vitro	9380514
LRDD	11284	NP_665893.2	CASP2	02800	NP_116764.2	in vivo	15073321,16652156
HCLS1	03199	NP_005326.2	CD79A	00203	NP_001774.1	in vivo	7927516
B2M	00189	NP_004039.1	CD8A	01737	NP_001759.3	in vitro	11914379
MYOM2	04619	NP_003961.2	CKM	00426	NP_001815.2	yeast 2-hybrid	12972258
HCLS1	03199	NP_005326.2	ACTR2	05023	NP_001005386.1	in vitro	12534372
CTNNA1	00285	NP_001894.2	DLG1	03007	NP_004078.2	in vitro	9512503
ZFHX3	00075	NP_008816.3	MYB	01810	NP_001123645.1	in vitro;yeast 2-hybrid	10318867
FBXW11	07294	NP_036432.2	CDC25A	00305	NP_001780.2	in vivo	14603323
TCEB1	02875	NP_005639.1	USP33	10297	NP_055832.3	in vitro;in vivo	11739384
SMAD4	02995	NP_005350.1	MEF2A	02807	NP_005578.2	in vitro;in vivo	11160896
AP1G1	04637	NP_001025178.1	DNER	09531	NP_620711.3	in vivo	11950833
MCM10	11297	NP_877428.1	MCM6	03485	NP_005906.2	in vitro;in vivo;yeast 2-hybrid	11095689,15232106
SMARCB1	03364	NP_003064.2	TACC2	05600	NP_996744.2	in vivo	12620397
MCM10	11297	NP_877428.1	MCM3	04072	NP_002379.2	in vitro;in vivo;yeast 2-hybrid	11095689,15232106
ATXN1	03333	NP_000323.2	MYO18A	10106	NP_510880.2	yeast 2-hybrid	16713569
RET	01266	NP_066124.1	GDNF	02906	NP_000505.1	in vitro	8674117
PLEKHG2	15148	NP_073746.2	RAC1	03627	NP_061485.1	in vitro	11839748
PLEKHG2	15148	NP_073746.2	CDC42	00309	NP_001782.1	in vitro	11839748
PLEKHG2	15148	NP_073746.2	RHOA	01323	NP_001655.1	in vitro	11839748
MAPK8IP1	05223	NP_005447.1	MAPK8IP3	12014	NP_055948.2	in vitro	10629060,16456539
MAPK8IP1	05223	NP_005447.1	MAPK8IP2	09674	NP_036456.1	in vitro;in vivo	10490659,10629060
FOS	01275	NP_005243.1	JUNB	01303	NP_002220.1	 in vivo;in vitro;in vitro	1406655,10764760,15867431
SKP2	03256	NP_005974.2	CDC34	00306	NP_004350.1	in vivo	9430629
MET	01280	NP_001120972.1	CNR1	00259	NP_057167.2	in vitro	11894096
ATXN1	03333	NP_000323.2	HSFX1	06627	NP_057237.1	yeast 2-hybrid	16713569
CCT3	08969	NP_005989.3	HSPA8	07205	NP_006588.1	in vivo	10635329
CD82	09004	NP_002222.1	ITGB1	00628	NP_391987.1	in vivo	8757325
CD82	09004	NP_002222.1	ITGA4	01894	NP_000876.3	in vivo	8757325
CD82	09004	NP_002222.1	ITGA6	00945	NP_001073286.1	in vivo	8757325
CD82	09004	NP_002222.1	ITGA3	05431	NP_005492.1	in vivo	8757325
BSN	04933	NP_003449.2	ERC2	10810	NP_056391.1	in vitro;in vivo	14734538
CALR	00169	NP_004334.1	TAPBP	09061	NP_757345.2	in vitro;in vivo	8769474
MAPKAPK2	11882	NP_116584.2	AKT1	01261	NP_005154.2	in vitro;in vivo	11042204
CASP8	03459	NP_001073594.1	HIP1	03461	NP_005329.3	in vivo	11788820
CREM	00444	NP_853549.1	CDC34	00306	NP_004350.1	in vivo;yeast 2-hybrid	10373550
AP3S1	03298	NP_001275.1	SCARB2	03772	NP_005497.1	in vitro	12370188
BRD3	03327	NP_031397.1	BRD7	12531	AAF19526.1	yeast 2-hybrid	12600283
POLA2	10160	NP_002680.2	POLA1	02416	NP_058633.2	in vitro;in vivo	8223465
SLC30A3	11924	NP_003450.2	AP3D1	06260	NP_003929.4	in vitro	14657250
CSF3	00736	NP_000750.1	CSF3R	00737	NP_724781.1	in vivo	10364174
GNAZ	00746	NP_002064.1	RAP1GAP	02609	NP_001139130.1	in vitro;yeast 2-hybrid	10593970
CASP9	03756	NP_001220.2	NAIP	09049	NP_004527.2	in vivo	15280366
GOSR1	04936	AAC39889.1	USO1	09135	NP_003706.1	in vitro	11927603
GOSR2	04937	NP_473363.1	USO1	09135	NP_003706.1	in vitro	11927603
USO1	09135	NP_003706.1	STX5	04426	NP_003155.2	in vitro	11927603
GTF2I	03399	NP_127492.1	STAT3	00026	NP_644805.1	in vitro;in vivo	9584171
MYOD1	01166	NP_002469.2	CDC34	00306	NP_004350.1	in vitro	9710583
ABLIM1	03819	NP_002304.3	KCNJ12	09083	NP_066292.2	in vitro	15024025
TRAF6	03833	NP_665802.1	STRADB	09546	NP_061041.2	in vivo	12048196
PRLR	01457	NP_000940.1	ZAP70	01495	NP_001070.2	in vitro	10221598
CLTC	00350	NP_004850.1	CLTB	00352	NP_009028.1	in vitro;yeast 2-hybrid	12426379,15533940
C3	00400	NP_000055.2	CFP	02308	NP_002612.1	in vitro	11513971
EPS8L1	13276	NP_573441.2	ABI1	04336	NP_005461.2	in vivo	14565974
C3	00400	NP_000055.2	CFHR3	05626	NP_066303.2	in vitro	10622723
C8B	00410	NP_000057.1	CLU	01706	NP_001822.2	in vitro	8345200
ATF2	00443	NP_001871.2	UTF1	11964	NP_003568.2	in vitro	9524124
MYBL2	03247	NP_002457.1	CDC34	00306	NP_004350.1	in vivo	10871850
CDK7	15993	NP_001790.1	MCM7	01154	NP_005907.3	in vivo	11056214
MAPK8IP2	09674	NP_036456.1	MAP3K11	02502	NP_002410.1	in vitro	10490659
USO1	09135	NP_003706.1	BET1L	16547	NP_001092257.1	in vitro	11927603
USO1	09135	NP_003706.1	EEA1	05460	NP_003557.2	in vivo	10903204
USO1	09135	NP_003706.1	NSF	03380	NP_006169.2	in vivo	10903204
ERC2	10810	NP_056391.1	PCLO	16078	NP_149015.2	in vitro;in vivo	14734538
ECT2	11860	NP_060568.3	F2RL2	03561	NP_004092.1	in vitro;yeast 2-hybrid	15254234
ECT2	11860	NP_060568.3	PARD6A	06316	NP_058644.1	in vitro;yeast 2-hybrid	15254234
SUPT5H	03655	NP_003160.2	SUPT4H1	16026	NP_003159.1	in vitro	10454543,12653964
SPEN	10230	NP_055816.2	MTA2	07233	NP_004730.2	in vivo	11331609
NEDD8	04412	NP_006147.1	CDC34	00306	NP_004350.1	in vitro	11675391
SPEN	10230	NP_055816.2	RBBP4	04232	NP_005601.1	in vivo	11331609
SPEN	10230	NP_055816.2	MBD3	04653	NP_003917.1	in vivo	11331609
NEK9	11386	NP_149107.4	SSRP1	05061	NP_003137.1	in vivo	14660563,16902406
NEK9	11386	NP_149107.4	SUPT16H	16088	NP_009123.1	in vivo	14660563
MED21	09156	NP_004255.2	CDK8	04422	NP_001251.1	in vivo	9710619
MED21	09156	NP_004255.2	POLR2A	08916	NP_000928.1	in vivo	9710619
DARS	04361	NP_001340.2	EEF1A1	00559	NP_001393.1	in vitro	7806521
ATF5	05906	NP_036200.2	CDC34	00306	NP_004350.1	in vivo;yeast 2-hybrid	10373550
MCM8	12186	NP_115874.3	MCM7	01154	NP_005907.3	in vivo	12771218
MCM8	12186	NP_115874.3	MCM6	03485	NP_005906.2	in vivo	12771218
MCM8	12186	NP_115874.3	MCM4	09094	NP_005905.2	in vivo	12771218
DSG2	00516	NP_001934.2	PKP3	05711	NP_009114.1	in vivo;yeast 2-hybrid	12707304
ARNT	00524	NP_001659.1	AHR	02596	NP_001612.1	in vitro;in vivo;yeast 2-hybrid	8384309,7488247,7628454,11768231,12024042
ARNT	00524	NP_001659.1	SIM2	02935	NP_005060.1	in vitro;in vivo;yeast 2-hybrid	9020169,9271372,11782478
HDAC4	05610	NP_006028.2	NCOR2	02910	NP_006303.3	in vitro	11804585
TRAK1	09732	NP_001036111.1	POLR2A	08916	NP_000928.1	in vivo	12435728
KITLG	01698	NP_000890.1	UBE2V1	04294	NP_003340.1	in vitro	12481031
ITGA8	10361	NP_003629.1	FN1	00626	NP_997647.1	in vitro	7559467
CDK9	16016	NP_001252.1	CDC34	00306	NP_004350.1	in vitro	11689688
ITGA8	10361	NP_003629.1	VTN	01902	NP_000629.3	in vitro	7559467
SMAD3	04380	NP_005893.1	PIAS3	09068	NP_006090.2	in vivo	14691252
FYN	00655	NP_002028.1	SDC3	01719	NP_055469.3	in vitro	9553134
FYN	00655	NP_002028.1	NEDD9	11888	NP_006394.1	in vitro;in vivo	9360983
CLU	01706	NP_001822.2	LEPR	03001	NP_002294.2	in vitro	12824284
LTBP1	01039	NP_996826.2	LTBP1	01039	NP_996826.2	in vitro;in vivo	8617200,10930463
XPO1	03975	NP_003391.1	ERF	09942	NP_006485.2	in vivo	14729966
STX1A	01721	NP_004594.1	NSF	03380	NP_006169.2	in vitro	7622514
SET	09023	NP_001116293.1	CDK5	00449	NP_004926.1	in vitro;in vivo	11741927
ZFAND6	18314	NP_061879.2	CDC34	00306	NP_004350.1	in vitro;yeast 2-hybrid	11054541
MAP3K7	04011	NP_663304.1	STRADB	09546	NP_061041.2	in vivo	12048196
MBL2	01107	NP_000233.1	MASP2	05484	NP_006601.2	in vitro	10878362
PPP2R5B	09038	NP_006235.1	PPP2CA	08912	NP_002706.1	in vitro;in vivo;yeast 2-hybrid	7592815
PPP1R12C	11452	NP_060077.1	PPP1CB	11792	NP_002700.1	in vitro;in vivo	11399775
PPP1R12C	11452	NP_060077.1	MYL2	01181	NP_000423.2	in vitro;in vivo	11399775
CRY1	09050	NP_004066.1	CSNK1E	02919	NP_001885.1	in vivo	11875063
SFRS9	09053	NP_003760.1	SAFB	04205	NP_002958.2	in vivo	11118435
TAPBP	09061	NP_757345.2	HLA-A	00826	NP_002107.3	in vitro;in vivo	8769474
MDC1	16252	NP_055456.2	H2AFX	03465	NP_002096.1	in vivo	14519663,12607005
DLAT	10578	NP_001922.2	PDHA1	02420	NP_000275.1	in vitro	14638692
ESR1	00589	NP_000116.2	CDC25B	00307	NP_068660.1	in vitro;in vivo	11689696
NCOA2	09066	NP_006531.1	VDR	03463	NP_000367.1	in vitro;in vivo;yeast 2-hybrid	12089346,12796488,12612084
MCM7	01154	NP_005907.3	CDC6	04022	NP_001245.1	in vivo	10464337,12614612
KCNV1	16293	NP_055194.1	KCNB2	09666	NP_004761.2	in vitro;in vivo	8670833
KCNV1	16293	NP_055194.1	KCNB1	08983	NP_004966.1	in vitro	8670833
YWHAQ	00886	NP_006817.1	CDC25B	00307	NP_068660.1	in vitro;in vivo	10713667
AR	02437	NP_000035.2	CDC25B	00307	NP_068660.1	in vitro	12569365
AFF4	09187	NP_055238.1	CDK9	16016	NP_001252.1	in vitro	12065898
SEPT7	04398	NP_001779.3	CDC42EP2	09363	NP_006770.1	in vitro	11584266
CSH2	06688	NP_066271.1	POLR2A	08916	NP_000928.1	in vitro	9312053
CDC6	04022	NP_001245.1	MCM3	04072	NP_002379.2	in vivo	10464337
MCM3	04072	NP_002379.2	POLR2A	08916	NP_000928.1	in vitro	10454562
APOBEC2	07268	NP_006780.1	APOBEC1	02531	NP_001635.2	in vitro	11698249
CREBBP	02534	NP_004371.2	CDC25B	00307	NP_068660.1	in vitro	11689696
SH2D1A	02390	NP_002342.1	LY9	02817	NP_002339.2	in vitro;in vivo	11477068
PLK1	03652	NP_005021.2	WEE1	01907	NP_003381.1	in vitro	15070733
WEE1	01907	NP_003381.1	BTRC	04596	NP_378663.1	in vivo	15070733
MAPK3	03479	NP_002737.2	STAT3	00026	NP_644805.1	in vitro;in vivo	11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
YWHAZ	03183	NP_003397.1	CDC25B	00307	NP_068660.1	in vitro;in vivo	10713667,12764136,17292828
WEE1	01907	NP_003381.1	FBXW11	07294	NP_036432.2	in vitro;in vivo	15070733,16085715
CAV1	03028	NP_001744.2	S1PR1	03578	NP_001391.2	in vivo	10921915
F11	07524	NP_000119.1	F11	07524	NP_000119.1	in vitro	1998667
RPSA	01038	NP_002286.2	RPS21	01605	NP_001015.1	in vitro;yeast 2-hybrid	10079194,16189514
YWHAB	03184	NP_003395.1	CDC25B	00307	NP_068660.1	in vitro;in vivo	7644510,10713667,17292828
GSK3B	05418	NP_002084.2	CABYR	10806	NP_036321.2	in vitro	15752768
CHMP2A	12520	NP_055268.1	VPS4B	15653	NP_004860.2	in vitro;yeast 2-hybrid	15173323
AURKA	04066	NP_003591.2	CDC25B	00307	NP_068660.1	in vitro;in vivo	15128871
ST14	06005	NP_068813.1	CDCP1	16696	NP_073753.3	in vivo	16007225
PAK2	05428	NP_002568.2	MKNK1	09468	NP_003675.2	in vitro;in vivo	15234964
CHEK1	04356	NP_001265.2	CDC25B	00307	NP_068660.1	in vitro	9278511
SELPLG	02845	Q14242	VCAN	00340	NP_004376.2	in vitro;in vivo;yeast 2-hybrid	15522894
DGKH	07237	NP_821077.1	DGKD	03492	NP_690618.2	in vivo	12810723
DGKH	07237	NP_821077.1	DGKH	07237	NP_821077.1	in vivo	12810723
OTX2	07190	NP_068374.1	MITF	01138	NP_937802.1	in vitro	12663655
YWHAE	05457	NP_006752.1	CDC25B	00307	NP_068660.1	in vitro;in vivo	10713667,7644510
CRMP1	03913	NP_001014809.1	ROCK1	03414	NP_005397.1	in vivo	12482610
CRMP1	03913	NP_001014809.1	DPYSL2	03914	NP_001377.1	in vivo	12482610
RNF19A	06176	NP_056250.3	SOD1	00937	NP_000445.1	in vitro;in vivo	12145308
CRMP1	03913	NP_001014809.1	AXIN1	04819	NP_003493.1	in vitro;yeast 2-hybrid	16169070
RNF19A	06176	NP_056250.3	VCP	03013	NP_009057.1	in vitro	15456787
RNF19A	06176	NP_056250.3	SNCAIP	04804	NP_005451.2	in vitro	12750386
PRKCA	01498	NP_002728.1	GRM5	04980	BAA05892.1	in vitro	9242710,15894802
PCSK4	06773	AAQ89322.1	IGF2	00939	NP_001121070.1	in vitro	16040806
PRKCB	01499	NP_002729.2	GRM5	04980	BAA05892.1	in vitro	15894802
MELK	06119	NP_055606.1	CDC25B	00307	NP_068660.1	in vitro;in vivo	12400006
PRKCG	01502	NP_002730.1	GRM5	04980	BAA05892.1	in vitro	15894802
PRKCE	01500	NP_005391.1	GRM5	04980	BAA05892.1	in vitro	15894802
PRKCQ	02710	NP_006248.1	GRM5	04980	BAA05892.1	in vitro	15894802
PRKCD	01501	NP_006245.2	GRM5	04980	BAA05892.1	in vitro	15894802
KCND3	16104	NP_004971.2	KCNIP2	06880	NP_055406.2	in vivo	12928444
SELPLG	02845	Q14242	SYK	02514	NP_003168.2	in vitro	12387735
EHMT2	06854	NP_006700.3	CUX1	00295	NP_853530.2	in vitro	15269344
HIST1H2BD	07535	NP_619790.1	HIRA	02583	NP_003316.3	yeast 2-hybrid	9710638
KAT2B	06780	NP_003875.3	CDC25B	00307	NP_068660.1	in vitro	11689696
RAD1	04400	NP_596868.1	POLB	07517	NP_002681.1	in vitro	15314187
RAD1	04400	NP_596868.1	FEN1	02670	NP_004102.1	in vitro	16216273
TCOF1	06026	NP_001128715.1	PCNA	01456	NP_002583.1	in vitro	12171929
DAZ4	13117	NP_001005375.1	PUM2	09527	NP_056132.1	in vivo;yeast 2-hybrid	12511597
DAZ4	13117	NP_001005375.1	DAZL	09029	NP_001342.2	yeast 2-hybrid	12511597
DAZ4	13117	NP_001005375.1	QKI	06691	NP_006766.1	yeast 2-hybrid	12511597
FHL3	09101	NP_004459.2	CDC25B	00307	NP_068660.1	in vitro;in vivo;yeast 2-hybrid	12681290
DAZ4	13117	NP_001005375.1	DZIP1	16363	NP_945319.1	yeast 2-hybrid	12511597
DAZ4	13117	NP_001005375.1	BOLL	07314	BAC04171.1	yeast 2-hybrid	12511597
TCOF1	06026	NP_001128715.1	NOP56	10119	NP_006383.2	in vitro	12777385
TCOF1	06026	NP_001128715.1	UBTF	02814	NP_055048.1	in vivo;yeast 2-hybrid	15249688
TCOF1	06026	NP_001128715.1	CSNK2A2	00279	NP_001887.1	in vivo	10982400
TAF9	15983	NP_003178.1	COIL	02605	NP_004636.1	yeast 2-hybrid	16079131,16713569
PRKD1	05668	NP_002733.2	HDAC7	09133	NP_056216.2	in vivo	15623513,15738054
HTRA2	05919	NP_037379.1	CSN1S1	00280	NP_001881.1	in vitro	10971580
HTRA2	05919	NP_037379.1	CSN2	00281	NP_001882.1	in vitro	10971580
BRSK2	11611	BAD18671.1	CDC25B	00307	NP_068660.1	in vitro	15150265
HTRA2	05919	NP_037379.1	APP	00100	NP_000475.1	in vivo	15036614
HTRA2	05919	NP_037379.1	PEA15	04579	NP_003759.1	in vitro	15328349
CBX3	05130	NP_057671.2	TAF4	11797	NP_003176.2	in vitro;yeast 2-hybrid	11959914
PPIL2	08472	NP_680481.1	BSG	00176	NP_001719.2	in vivo	15946952
NR2E3	05132	NP_055064.1	NR1D1	03873	NP_068370.1	in vitro;yeast 2-hybrid	15190009
NR2E3	05132	NP_055064.1	CRX	03748	NP_000545.1	in vivo;yeast 2-hybrid	15689355
RPS6KA5	06789	NP_004746.2	CREBBP	02534	NP_004371.2	in vitro	12569367
RPS6KA5	06789	NP_004746.2	EP300	04078	NP_001420.2	in vitro	12569367
BRSK1	12533	NP_115806.1	CDC25B	00307	NP_068660.1	in vitro	15150265
RPS6KA5	06789	NP_004746.2	HSPB2	03712	NP_001532.1	in vitro	9687510
RPS6KA5	06789	NP_004746.2	MAPK11	04208	AAB05036.1	in vitro	9687510
F11R	12038	NP_653086.1	ITGAL	01079	NP_002200.2	in vivo;yeast 2-hybrid	11812992
RPS6KA5	06789	NP_004746.2	HIST3H3	04156	NP_003484.1	in vivo	12773393
F11R	12038	NP_653086.1	MPDZ	09155	NP_003820.2	in vitro;in vivo	11689568
IRF5	06240	NP_001092099.1	XPO1	03975	NP_003391.1	in vivo	15556946
RPS6KA5	06789	NP_004746.2	HIST3H2A	13660	NP_254280.1	in vitro	15010469
PRKCE	01500	NP_005391.1	ACTC1	00015	NP_005150.1	in vivo	11968018
PDIA3	03625	NP_005304.3	STAT3	00026	NP_644805.1	in vitro;in vivo	12060494
B4GALT1	00659	NP_001488.2	CDC2L2	00308	NP_277073.1	in vitro	11506180
IRF5	06240	NP_001092099.1	IKBKE	05442	NP_054721.1	in vivo	15695821,15556946
F11R	12038	NP_653086.1	MLLT4	01164	NP_001035090.1	in vitro;in vivo;yeast 2-hybrid	10856295
IRF5	06240	NP_001092099.1	TBK1	05322	NP_037386.1	in vitro;in vivo	15695821,15556946
F11R	12038	NP_653086.1	CASK	02164	NP_003679.2	in vitro;in vivo;yeast 2-hybrid	10856295,11120739
TNFSF13	05128	NP_003799.1	SDC2	00803	NP_002989.2	in vivo	15846369
RPS6KA5	06789	NP_004746.2	HIST4H4	13662	NP_778224.1	in vitro	15010469
SKIV2L	02724	NP_008860.4	CDC2L2	00308	NP_277073.1	yeast 2-hybrid	15231747
F11R	12038	NP_653086.1	F11R	12038	NP_653086.1	in vitro;in vivo	14749337
TICAM1	06350	NP_891549.1	PIAS4	06910	NP_056981.2	in vivo	15251447
RPS6KA5	06789	NP_004746.2	HIST3H2BB	13661	NP_778225.1	in vitro	15010469,10469656
TICAM1	06350	NP_891549.1	IRF3	04769	NP_001562.1	in vivo;yeast 2-hybrid	14739303
TICAM1	06350	NP_891549.1	IRF7	05441	NP_004022.2	in vivo;yeast 2-hybrid	14739303
TICAM1	06350	NP_891549.1	TRAF6	03833	NP_665802.1	in vivo;yeast 2-hybrid	14530355,14982987
TICAM1	06350	NP_891549.1	TLR3	04324	NP_003256.1	in vivo;yeast 2-hybrid	12539043,14982987
PRKDC	02941	NP_008835.5	LIG4	03500	NP_002303.2	in vitro	15194694
FHL2	04026	NP_001441.4	FOXO1	00645	NP_002006.2	in vitro	15692560
KCNIP2	06880	NP_055406.2	KCND2	09254	NP_036413.1	in vitro	11287421
CASP3	02799	NP_004337.2	CDC2L2	00308	NP_277073.1	in vivo	9632733,9115219
NFAT5	05272	NP_619727.2	FOXP3	02242	NP_054728.2	in vivo	15790681
CSNK2A1	00277	NP_001886.1	F11R	12038	NP_653086.1	in vitro	7646439
PRKCA	01498	NP_002728.1	F11R	12038	NP_653086.1	in vitro	7646439
JUN	01302	NP_002219.1	TOP1	00535	NP_003277.1	in vitro;in vivo	15923621
SRC	01819	NP_005408.1	CTNND1	03026	NP_001078927.1	in vitro;in vivo	11382764
RPS6KA5	06789	NP_004746.2	MBP	01158	NP_001020272.1	in vitro	9873047
CASP8	03459	NP_001073594.1	CDC2L2	00308	NP_277073.1	in vivo	9632733
RPS6KA5	06789	NP_004746.2	HIST1H1B	00821	NP_005313.1	in vitro	9873047
RAD52	11855	NP_002870.2	WRN	05212	NP_000544.2	in vitro;in vivo;yeast 2-hybrid	12750383
RAD52	11855	NP_002870.2	MCM2	00303	NP_004517.2	in vitro;in vivo	15766559
RAD52	11855	NP_002870.2	MCM3	04072	NP_002379.2	in vitro;in vivo	15766559
RAD52	11855	NP_002870.2	RAD51	01557	NP_597994.3	in vitro;in vivo	15766559
PAK1	03995	AAC24716.1	CDC2L2	00308	NP_277073.1	in vitro;in vivo;yeast 2-hybrid	12624090
RPS6KA5	06789	NP_004746.2	BAD	04409	NP_004313.1	in vitro	10880354
RAD52	11855	NP_002870.2	ERCC3	00593	NP_000113.1	in vivo	12372413
RAD52	11855	NP_002870.2	ERCC2	00530	NP_000391.1	in vivo	12372413
